epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.45192,1.15951,2.43439,1.73166,0.00908,1,0.27469,0.07317,2.65846,3.93748,4.56449,0.0001,0.0001,0.0901
2,8.30408,0.74343,1.52447,1.42915,0.01293,1,0.19965,0.03622,2.71298,3.43857,4.80981,0.000205842,0.000205842,0.0792058
3,12.3557,0.76069,1.04462,1.39617,0.01184,1,0.995,0.45625,1.47253,2.22419,3.58057,0.000307328,0.000307328,0.0683073
4,16.3954,0.75791,0.8804,1.40604,0.92013,1,0.995,0.42704,1.54995,2.22229,3.50062,0.000404458,0.000404458,0.0574045
5,19.3773,0.71764,0.82833,1.33238,0.99159,1,0.995,0.44376,1.91998,1.19174,5.0138,0.000497232,0.000497232,0.0464972
6,22.0897,0.71983,0.79605,1.32951,0.99603,1,0.995,0.53655,1.78096,1.3527,4.60374,0.00058565,0.00058565,0.0355857
7,26.0766,0.64682,0.71746,1.30582,0.99604,1,0.995,0.52398,1.67964,0.85637,3.81072,0.000669712,0.000669712,0.0246697
8,30.5137,0.80539,0.78277,1.40096,0.99741,1,0.995,0.57564,1.50748,1.02776,3.1779,0.000749418,0.000749418,0.0137494
9,33.6699,0.71812,0.74399,1.35431,0.99372,1,0.995,0.55761,1.63195,1.16917,3.81235,0.000824768,0.000824768,0.00282477
10,36.7653,0.76678,0.76318,1.39353,0.99549,1,0.995,0.56084,1.51413,1.08684,3.21503,0.0008218,0.0008218,0.0008218
11,40.0441,0.69613,0.72792,1.31548,0.99296,1,0.995,0.50965,1.60308,1.33469,3.48784,0.000802,0.000802,0.000802
12,44.1793,0.6393,0.67746,1.26222,0.99404,1,0.995,0.50171,1.66772,1.51501,3.70741,0.0007822,0.0007822,0.0007822
13,48.2343,0.60724,0.67136,1.2283,0.995,1,0.995,0.50655,1.75693,1.06273,3.59073,0.0007624,0.0007624,0.0007624
14,51.3814,0.5994,0.60042,1.2479,0.99544,1,0.995,0.5889,1.4759,0.77404,3.04772,0.0007426,0.0007426,0.0007426
15,54.0451,0.58119,0.6029,1.23714,0.99273,1,0.995,0.59578,1.37282,0.80469,2.97861,0.0007228,0.0007228,0.0007228
16,57.5151,0.61263,0.58623,1.25753,0.99562,1,0.995,0.57279,1.5262,0.75716,3.33834,0.000703,0.000703,0.000703
17,61.8392,0.62665,0.69441,1.22892,0.97159,1,0.995,0.55497,1.73997,1.07763,3.96762,0.0006832,0.0006832,0.0006832
18,65.383,0.66282,0.74874,1.33935,0.93169,0.97533,0.97633,0.33653,2.28211,1.67791,4.44577,0.0006634,0.0006634,0.0006634
19,68.6447,0.56777,0.54531,1.23291,0.71507,0.92857,0.8303,0.35656,1.91475,1.16688,3.6947,0.0006436,0.0006436,0.0006436
20,71.4311,0.54196,0.5412,1.19212,0.99651,1,0.995,0.53566,1.77132,0.81466,4.13501,0.0006238,0.0006238,0.0006238
21,75.6152,0.53631,0.51782,1.21511,0.99091,1,0.995,0.51461,1.86756,0.97274,4.96254,0.000604,0.000604,0.000604
22,79.1075,0.54904,0.51087,1.23583,0.99598,1,0.995,0.50395,1.87506,0.7894,4.58867,0.0005842,0.0005842,0.0005842
23,81.927,0.53487,0.54624,1.19369,0.99582,1,0.995,0.55171,1.71314,0.6894,3.89563,0.0005644,0.0005644,0.0005644
24,84.9576,0.53341,0.50415,1.19586,0.99621,1,0.995,0.56605,1.5621,0.62226,3.64207,0.0005446,0.0005446,0.0005446
25,88.1526,0.53602,0.48261,1.18428,0.99558,1,0.995,0.58767,1.50556,0.61825,3.37418,0.0005248,0.0005248,0.0005248
